player_id,league,sport,first_name,last_name
680,NFL,FOOTBALL,Kory,Lichtensteiger
12446,NFL,FOOTBALL,Marvin,Moody
526,NFL,FOOTBALL,Arthur,Jones
12342,NFL,FOOTBALL,Travis,Benham
7229,NFL,FOOTBALL,Dieter,Eiselen
6478,NFL,FOOTBALL,Ryan,Crozier
3060,NFL,FOOTBALL,Kevin,Coyle
2109,NFL,FOOTBALL,Ryan,Groy
5003,NFL,FOOTBALL,Shaquem,Griffin
355,NFL,FOOTBALL,Brian,Leonard
506,NFL,FOOTBALL,David,Nelson
737,NFL,FOOTBALL,Mickey,Shuler
1749,NFL,FOOTBALL,Jake,Stoneburner
4758,NFL,FOOTBALL,Brett,Veach
8361,NFL,FOOTBALL,Damarion,Williams
3054,NFL,FOOTBALL,Tyreek,Burwell
2320,NFL,FOOTBALL,Melvin,Gordon
11037,NFL,FOOTBALL,Cory,Trice
1100,NFL,FOOTBALL,Jared,Crick
1895,NFL,FOOTBALL,AJ,McCarron
11906,NFL,FOOTBALL,Ty,James
5040,NFL,FOOTBALL,Tarvarius,Moore
12493,NFL,FOOTBALL,Oronde,Gadsden
2496,NFL,FOOTBALL,Malcolm,Johnson
3876,NFL,FOOTBALL,Michael,Wakefield
7144,NFL,FOOTBALL,Clay,Johnston
3728,NFL,FOOTBALL,Brian,Price
6581,NFL,FOOTBALL,Derick,Roberson
4712,NFL,FOOTBALL,Johnny,Ragin
1660,NFL,FOOTBALL,Brynden,Trawick
287,NFL,FOOTBALL,Brad,Smith
7258,NFL,FOOTBALL,Luke,Sellers
3040,NFL,FOOTBALL,David,Irving
12028,NFL,FOOTBALL,TaMerik,Williams
521,NFL,FOOTBALL,Jeff,Cumberland
7399,NFL,FOOTBALL,Bejour,Wilson
1279,NFL,FOOTBALL,Orie,Lemon
4379,NFL,FOOTBALL,Geoff,Gray
1991,NFL,FOOTBALL,Rashaad,Reynolds
11512,NFL,FOOTBALL,Tyrus,Wheat
3488,NFL,FOOTBALL,D.J.,Foster
11044,NFL,FOOTBALL,Nick,Broeker
630,NFL,FOOTBALL,Phillip,Adams
5557,NFL,FOOTBALL,Emmanuel,Beal
4909,NFL,FOOTBALL,Duce,Staley
1412,NFL,FOOTBALL,Shamarko,Thomas
3697,NFL,FOOTBALL,Kyle,Rose
4281,NFL,FOOTBALL,Josh,Carraway
12244,NFL,FOOTBALL,DeAngelo,Hardy
7497,NFL,FOOTBALL,Kamaal,Seymour
489,NFL,FOOTBALL,Jamon,Meredith
1387,NFL,FOOTBALL,Rex,Burkhead
3759,NFL,FOOTBALL,Gabe,Hughes
8030,NFL,FOOTBALL,Emmanuel,Rugamba
5832,NFL,FOOTBALL,Mercy,Maston
11122,NFL,FOOTBALL,Andrew,Farmer
6559,NFL,FOOTBALL,Tanner,Volson
7386,NFL,FOOTBALL,Malcolm,Elmore
7553,NFL,FOOTBALL,Kyle,Pitts
5143,NFL,FOOTBALL,Demario,Richard
5308,NFL,FOOTBALL,Duplicate,Player
1172,NFL,FOOTBALL,Don,Barclay
5617,NFL,FOOTBALL,Austin,Barnard
5664,NFL,FOOTBALL,Trent,Harris
2874,NFL,FOOTBALL,Leon,Mackey
4065,NFL,FOOTBALL,Derek,Barnett
7501,NFL,FOOTBALL,Evan,Foster
8410,NFL,FOOTBALL,Jequez,Ezzard
5845,NFL,FOOTBALL,Dwayne,Haskins
2025,NFL,FOOTBALL,Albert,Wilson
5838,NFL,FOOTBALL,Phillip,Andersen
12300,NFL,FOOTBALL,Joshua,Lingenfelter
767,NFL,FOOTBALL,Chris,Baker
8645,NFL,FOOTBALL,Benjie,Franklin
1523,NFL,FOOTBALL,Josh,Boyd
11134,NFL,FOOTBALL,Kaleb,Hayes
11304,NFL,FOOTBALL,E.J.,Jenkins
8502,NFL,FOOTBALL,Cade,Mays
10940,NFL,FOOTBALL,Nick,Herbig
5534,NFL,FOOTBALL,Elijah,Campbell
4746,NFL,FOOTBALL,Ryan,Reid
7970,NFL,FOOTBALL,Ar'Darius,Washington
19,NFL,FOOTBALL,Joe,Flacco
12329,NFL,FOOTBALL,Cade,Beresford
5296,NFL,FOOTBALL,Elijah,Wellman
7782,NFL,FOOTBALL,Isaiah,McDuffie
2782,NFL,FOOTBALL,Niko,Davis
12301,NFL,FOOTBALL,Treylen,Brown
11279,NFL,FOOTBALL,Chim,Okorafor
4216,NFL,FOOTBALL,Desmond,King
2160,NFL,FOOTBALL,Zac,Kerin
4363,NFL,FOOTBALL,Demetrious,Cox
3837,NFL,FOOTBALL,Kenneth,Durden
10941,NFL,FOOTBALL,Tyler,Lacy
11756,NFL,FOOTBALL,Hunter,Nourzad
3466,NFL,FOOTBALL,Andrew,Williamson
1009,NFL,FOOTBALL,Bryan,Walters
10970,NFL,FOOTBALL,Henry,To'oTo'o
8609,NFL,FOOTBALL,Hauati,Pututau
2678,NFL,FOOTBALL,Ray,Drew
3865,NFL,FOOTBALL,Chris,Edwards
4553,NFL,FOOTBALL,Dieugot,Joseph
3053,NFL,FOOTBALL,Shane,McDermott
1524,NFL,FOOTBALL,Kevin,Dorsey
1250,NFL,FOOTBALL,Will,Johnson
11129,NFL,FOOTBALL,Nic,Melsop
7246,NFL,FOOTBALL,Drake,Dorbeck
2519,NFL,FOOTBALL,Neal,Sterling
6624,NFL,FOOTBALL,Joshua,Simmons
2721,NFL,FOOTBALL,Chris,Harper
6459,NFL,FOOTBALL,Sean,Modster
12264,NFL,FOOTBALL,Cole,Beck
2735,NFL,FOOTBALL,Thurston,Armbrister
801,NFL,FOOTBALL,Charles,Clay
4911,NFL,FOOTBALL,Quinton,Schooley
